iter	Passed	Remaining
1533	66982	34277
1534	67032	34236
1535	67080	34195
1536	67122	34150
1537	67173	34110
1538	67214	34065
1539	67259	34023
1540	67301	33978
1541	67346	33935
1542	67389	33891
1543	67429	33845
1544	67477	33804
1545	67523	33761
1546	67578	33723
1547	67628	33683
1548	67675	33641
1549	67715	33595
1550	67759	33551
1551	67815	33514
1552	67867	33474
1553	67913	33432
1554	67963	33391
1555	68011	33349
1556	68057	33307
1557	68100	33263
1558	68141	33218
1559	68187	33175
1560	68236	33134
1561	68294	33097
1562	68339	33054
1563	68387	33013
1564	68450	32978
1565	68498	32937
1566	68542	32893
1567	68588	32850
1568	68637	32809
1569	68678	32764
1570	68721	32720
1571	68773	32680
1572	68814	32635
1573	68868	32596
1574	68911	32552
1575	68952	32507
1576	68994	32462
1577	69042	32421
1578	69084	32376
1579	69128	32332
1580	69172	32289
1581	69220	32247
1582	69264	32203
1583	69318	32164
1584	69358	32119
1585	69415	32081
1586	69462	32039
1587	69513	31999
1588	69566	31959
1589	69611	31916
1590	69656	31873
1591	69714	31835
1592	69758	31791
1593	69806	31749
1594	69852	31707
1595	69896	31663
1596	69941	31620
1597	69989	31578
1598	70034	31535
1599	70074	31489
1600	70120	31446
1601	70164	31403
1602	70211	31360
1603	70260	31319
1604	70300	31273
1605	70348	31231
1606	70394	31189
1607	70440	31146
1608	70496	31108
1609	70544	31065
1610	70597	31026
1611	70643	30983
1612	70696	30943
1613	70738	30898
1614	70777	30852
1615	70821	30809
1616	70869	30767
1617	70930	30730
1618	70974	30687
1619	71013	30640
1620	71055	30596
1621	71094	30550
1622	71133	30504
1623	71184	30463
1624	71233	30422
1625	71280	30379
1626	71326	30336
1627	71377	30296
1628	71430	30255
1629	71476	30213
1630	71527	30172
1631	71581	30132
1632	71625	30088
1633	71680	30049
1634	71728	30007
1635	71778	29966
1636	71821	29921
1637	71877	29883
1638	71925	29840
1639	71975	29799
1640	72017	29755
1641	72065	29712
1642	72110	29669
1643	72157	29626
1644	72197	29581
1645	72246	29539
1646	72291	29496
1647	72348	29457
1648	72409	29420
1649	72451	29375
1650	72503	29335
1651	72556	29294
1652	72602	29251
1653	72657	29212
1654	72698	29167
1655	72745	29124
1656	72789	29080
1657	72829	29035
1658	72888	28997
1659	72932	28953
1660	72977	28909
1661	73022	28866
1662	73065	28821
